Rank,Name,Assoc,Points,Year,Gender
1,MORIZONO Masataka/OSHIMA Yuya,JPN,1410.0,2017,Men
2,FRANZISKA Patrick/GROTH Jonathan,MIX,870.0,2017,Men
3,FAN Zhendong/XU Xin,CHN,770.0,2017,Men
4,NIWA Koki/YOSHIMURA Maharu,JPN,710.0,2017,Men
5,UEDA Jin/YOSHIMURA Maharu,JPN,710.0,2017,Men
6,JEOUNG Youngsik/LEE Sangsu,KOR,660.0,2017,Men
7,CALDERANO Hugo/TSUBOI Gustavo,BRA,650.0,2017,Men
8,FILUS Ruwen/WALTHER Ricardo,GER,610.0,2017,Men
9,DEVOS Robin/NUYTINCK Cedric,BEL,605.0,2017,Men
10,HO Kwan Kit/WONG Chun Ting,HKG,500.0,2017,Men
1,MORIZONO Masataka/OSHIMA Yuya,JPN,2405.0,2018,Men
2,JEOUNG Youngsik/LEE Sangsu,KOR,2285.0,2018,Men
3,HO Kwan Kit/WONG Chun Ting,HKG,1835.0,2018,Men
4,LIAO Cheng-Ting/LIN Yun-Ju,TPE,1345.0,2018,Men
5,FRANZISKA Patrick/GROTH Jonathan,MIX,1305.0,2018,Men
6,JANG Woojin/LIM Jonghoon,KOR,1135.0,2018,Men
7,FALCK Mattias/KARLSSON Kristian,SWE,1115.0,2018,Men
8,FAN Zhendong/XU Xin,CHN,1100.0,2018,Men
9,MA Long/XU Xin,CHN,990.0,2018,Men
10,CHEN Chien-An/CHUANG Chih-Yuan,TPE,875.0,2018,Men
1,JEOUNG Youngsik/LEE Sangsu,KOR,2200.0,2019,Men
2,LIN Gaoyuan/LIANG Jingkun,CHN,2080.0,2019,Men
3,FAN Zhendong/XU Xin,CHN,1560.0,2019,Men
4,HO Kwan Kit/WONG Chun Ting,HKG,1545.0,2019,Men
5,BOLL Timo/FRANZISKA Patrick,GER,1330.0,2019,Men
6,LIAO Cheng-Ting/LIN Yun-Ju,TPE,1230.0,2019,Men
7,JANG Woojin/LIM Jonghoon,KOR,1205.0,2019,Men
8,CHEN Chien-An/CHUANG Chih-Yuan,TPE,1130.0,2019,Men
9,IONESCU Ovidiu/ROBLES Alvaro,MIX,1125.0,2019,Men
10,ECSEKI Nandor/SZUDI Adam,HUN,1030.0,2019,Men
1,LIN Gaoyuan/LIANG Jingkun,CHN,2190.0,2020,Men
2,JEOUNG Youngsik/LEE Sangsu,KOR,2120.0,2020,Men
3,FAN Zhendong/XU Xin,CHN,2000.0,2020,Men
4,HO Kwan Kit/WONG Chun Ting,HKG,1250.0,2020,Men
5,LIAO Cheng-Ting/LIN Yun-Ju,TPE,1245.0,2020,Men
6,BOLL Timo/FRANZISKA Patrick,GER,1230.0,2020,Men
7,DUDA Benedikt/QIU Dang,GER,1210.0,2020,Men
8,CHEN Chien-An/CHUANG Chih-Yuan,TPE,1130.0,2020,Men
9,GARDOS Robert/HABESOHN Daniel,AUT,1040.0,2020,Men
10,IONESCU Ovidiu/ROBLES Alvaro,MIX,1005.0,2020,Men
1,Kristian KARLSSON / Mattias FALCK,SWE,2419.0,2021,Men
2,JANG Woojin / LIM Jonghoon,KOR,2133.0,2021,Men
3,Yukiya UDA / Shunsuke TOGAMI,JPN,1820.0,2021,Men
4,LIN Gaoyuan / LIANG Jingkun,CHN,1795.0,2021,Men
5,JEOUNG Youngsik / LEE Sangsu,KOR,1660.0,2021,Men
6,Gaston ALTO / Horacio CIFUENTES,ARG,1224.0,2021,Men
7,Dang QIU / Benedikt DUDA,GER,1220.0,2021,Men
8,Ovidiu IONESCU / Alvaro ROBLES,ROU / ESP,1168.0,2021,Men
9,Nandor ECSEKI / Adam SZUDI,HUN,1152.0,2021,Men
10,CHEN Chien-An / CHUANG Chih-Yuan,TPE,1095.0,2021,Men
1,Yukiya UDA / Shunsuke TOGAMI,JPN,3395.0,2022,Men
2,Kristian KARLSSON / Mattias FALCK,SWE,3095.0,2022,Men
3,FAN Zhendong / WANG Chuqin,CHN,2350.0,2022,Men
4,JANG Woojin / LIM Jonghoon,KOR,2174.0,2022,Men
5,Dang QIU / Benedikt DUDA,GER,2060.0,2022,Men
6,CHEN Chien-An / CHUANG Chih-Yuan,TPE,1375.0,2022,Men
7,LEE Sangsu / CHO Daeseong,KOR,1140.0,2022,Men
8,LIN Gaoyuan / LIANG Jingkun,CHN,1120.0,2022,Men
9,Ovidiu IONESCU / Alvaro ROBLES,ROU / ESP,1105.0,2022,Men
10,Paul DRINKHALL / Liam PITCHFORD,ENG,1104.0,2022,Men
1,FAN Zhendong / WANG Chuqin,CHN,4500.0,2023,Men
2,JANG Woojin / LIM Jonghoon,KOR,4358.0,2023,Men
3,Yukiya UDA / Shunsuke TOGAMI,JPN,1615.0,2023,Men
4,LIM Jonghoon / AN Jaehyun,KOR,1562.0,2023,Men
5,LIN Gaoyuan / LIN Shidong,CHN,1350.0,2023,Men
6,LEE Sang Su / CHO Daeseong,KOR,1174.0,2023,Men
7,Alexis LEBRUN / Felix LEBRUN,FRA,1171.0,2023,Men
8,CHO Seungmin / AN Jaehyun,KOR,1145.0,2023,Men
9,Patrick FRANZISKA / Dimitrij OVTCHAROV,GER,1100.0,2023,Men
10,XU Yingbin / LIN Shidong,CHN,960.0,2023,Men
1,Alexis LEBRUN / Felix LEBRUN,FRA,4275.0,2024,Men
2,Shunsuke TOGAMI / Hiroto SHINOZUKA,JPN,3434.0,2024,Men
3,YUAN Licen / XIANG Peng,CHN,3055.0,2024,Men
4,LIN Gaoyuan / LIN Shidong,CHN,2745.0,2024,Men
5,MA Long / WANG Chuqin,CHN,2420.0,2024,Men
6,MA Long / LIN Gaoyuan,CHN,2400.0,2024,Men
7,LIANG Jingkun / WANG Chuqin,CHN,2291.0,2024,Men
8,FAN Zhendong / WANG Chuqin,CHN,1925.0,2024,Men
9,PANG Koen / QUEK Izaac,SGP,1765.0,2024,Men
10,Florian BOURRASSAUD / Esteban DORR,FRA,1610.0,2024,Men
1,WONG Chun Ting / CHAN Baldwin,HKG,4395.0,2025,Men
2,LIM Jonghoon / AN Jaehyun,KOR,4095.0,2025,Men
3,WANG Chuqin / LIN Shidong,CHN,4000.0,2025,Men
4,Alexis LEBRUN / Felix LEBRUN,FRA,3863.0,2025,Men
5,LIN Yun-Ju / KAO Cheng-Jui,TPE,3160.0,2025,Men
6,Manav THAKKAR / Manush SHAH,IND,2520.0,2025,Men
7,Shunsuke TOGAMI / Hiroto SHINOZUKA,JPN,2495.0,2025,Men
8,PANG Koen / QUEK Izaac,SGP,2190.0,2025,Men
9,LIN Shidong / HUANG Youzheng,CHN,1750.0,2025,Men
10,Dang QIU / Benedikt DUDA,GER,1730.0,2025,Men
1,Alexis LEBRUN / Felix LEBRUN,FRA,5163.0,2026,Men
2,WONG Chun Ting / CHAN Baldwin,HKG,4395.0,2026,Men
3,LIM Jonghoon / AN Jaehyun,KOR,3930.0,2026,Men
4,LIN Shidong / HUANG Youzheng,CHN,3550.0,2026,Men
5,Manav THAKKAR / Manush SHAH,IND,3040.0,2026,Men
6,PANG Koen / QUEK Izaac,SGP,2300.0,2026,Men
7,Shunsuke TOGAMI / Hiroto SHINOZUKA,JPN,2145.0,2026,Men
8,WANG Chuqin / LIN Shidong,CHN,2000.0,2026,Men
9,Dang QIU / Benedikt DUDA,GER,1960.0,2026,Men
12,Mohamed ELBEIALI / Youssef ABDELAZIZ,EGY,1605.0,2026,Men
1,HASHIMOTO Honoka/SATO Hitomi,JPN,1130.0,2017,Women
2,DOO Hoi Kem/LEE Ho Ching,HKG,1080.0,2017,Women
3,HAYATA Hina/ITO Mima,JPN,890.0,2017,Women
4,DING Ning/LIU Shiwen,CHN,880.0,2017,Women
5,EKHOLM Matilda/POTA Georgina,MIX,870.0,2017,Women
6,CHEN Meng/ZHU Yuling,CHN,860.0,2017,Women
7,JEON Jihee/YANG Haeun,KOR,850.0,2017,Women
8,CHEN Szu-Yu/CHENG I-Ching,TPE,500.0,2017,Women
9,NG Wing Nam/SOO Wai Yam Minnie,HKG,460.0,2017,Women
10,FENG Tianwei/YU Mengyu,SGP,440.0,2017,Women
1,HAYATA Hina/ITO Mima,JPN,2520.0,2018,Women
2,JEON Jihee/YANG Haeun,KOR,1850.0,2018,Women
3,CHEN Xingtong/SUN Yingsha,CHN,1770.0,2018,Women
4,HASHIMOTO Honoka/SATO Hitomi,JPN,1640.0,2018,Women
5,DOO Hoi Kem/LEE Ho Ching,HKG,1445.0,2018,Women
6,CHEN Ke/WANG Manyu,CHN,1325.0,2018,Women
7,CHEN Meng/ZHU Yuling,CHN,1250.0,2018,Women
8,NG Wing Nam/SOO Wai Yam Minnie,HKG,1195.0,2018,Women
9,LIU Gaoyang/ZHANG Rui,CHN,1030.0,2018,Women
10,BALAZOVA Barbora/MATELOVA Hana,MIX,955.0,2018,Women
1,KIHARA Miyuu/NAGASAKI Miyu,JPN,1835.0,2019,Women
2,WANG Manyu/SUN Yingsha,CHN,1665.0,2019,Women
3,JEON Jihee/YANG Haeun,KOR,1355.0,2019,Women
4,CHEN Szu-Yu/CHENG Hsien-Tzu,TPE,1330.0,2019,Women
5,HAYATA Hina/ITO Mima,JPN,1140.0,2019,Women
6,DOO Hoi Kem/LEE Ho Ching,HKG,1110.0,2019,Women
7,HASHIMOTO Honoka/SATO Hitomi,JPN,1055.0,2019,Women
8,NG Wing Nam/SOO Wai Yam Minnie,HKG,1020.0,2019,Women
9,CHEN Meng/WANG Manyu,CHN,1010.0,2019,Women
10,ODO Satsuki/SHIBATA Saki,JPN,880.0,2019,Women
1,KIHARA Miyuu/NAGASAKI Miyu,JPN,2290.0,2020,Women
2,HIRANO Miu/ISHIKAWA Kasumi,JPN,1555.0,2020,Women
3,JEON Jihee/YANG Haeun,KOR,1455.0,2020,Women
4,CHEN Meng/WANG Manyu,CHN,1450.0,2020,Women
5,WANG Manyu/SUN Yingsha,CHN,1445.0,2020,Women
6,CHEN Szu-Yu/CHENG Hsien-Tzu,TPE,1390.0,2020,Women
7,DOO Hoi Kem/LEE Ho Ching,HKG,1125.0,2020,Women
8,HASHIMOTO Honoka/SATO Hitomi,JPN,1085.0,2020,Women
9,ODO Satsuki/SHIBATA Saki,JPN,975.0,2020,Women
10,NG Wing Nam/SOO Wai Yam Minnie,HKG,970.0,2020,Women
1,RYU Hanna / KIM Nayeong,KOR,4020.0,2026,Women
2,WANG Manyu / KUAI Man,CHN,4000.0,2026,Women
3,Satsuki ODO / Miwa HARIMOTO,JPN,3410.0,2026,Women
4,WANG Manyu / SUN Yingsha,CHN,3400.0,2026,Women
5,SHIN Yubin / Miyu NAGASAKI,KOR / JPN,2450.0,2026,Women
6,Satsuki ODO / Sakura YOKOI,JPN,2320.0,2026,Women
7,WANG Yidi / KUAI Man,CHN,2000.0,2026,Women
8,Hina HAYATA / Miwa HARIMOTO,JPN,2000.0,2026,Women
9,Miyuu KIHARA / Miwa HARIMOTO,JPN,1700.0,2026,Women
10,Maria XIAO / Adina DIACONU,ESP / ROU,1645.0,2026,Women
